HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,10688,2,2
1,11296,4,4
2,100384,23,23
3,8224,38,38
4,14144,46,46
5,5600,80,80
6,2912,102,102
7,4832,124,124
8,4256,146,146
9,2400,168,168
10,704,190,190
11,704,212,212
12,704,234,234
13,704,256,256
14,704,278,278
15,2496,300,300
16,6048,322,322
17,8608,344,344
18,7360,366,366
19,832,388,388
20,704,410,410
21,704,432,432
22,1600,454,454
23,3776,476,476
24,5568,498,498
25,7904,520,520
26,14976,542,542
27,28448,564,564
28,46368,586,586
29,1536,608,608
30,2176,630,630
31,3552,652,652
32,5536,674,674
33,8736,696,696
34,12160,718,718
35,8224,740,740
36,736,762,762
37,736,784,784
38,1568,806,806
39,3680,828,828
40,5760,850,850
41,9120,872,872
42,3136,894,894
43,704,916,916
44,736,938,938
45,736,960,960
46,736,982,982
47,3104,1004,1004
48,3840,1026,1026
49,1440,1048,1048
50,704,1070,1070
51,704,1092,1092
52,896,1114,1114
53,704,1136,1136
54,736,1158,1158
55,736,1180,1180
56,736,1202,1202
57,736,1224,1224
58,704,1246,1246
59,704,1268,1268
60,704,1290,1290
61,704,1312,1312
62,704,1334,1334
63,704,1356,1356
64,704,1378,1378
65,736,1400,1400
66,704,1422,1422
67,704,1444,1444
68,704,1466,1466
69,40640,1499,1499
70,704,1520,1520
71,704,1558,1558
72,13687232,1575,1575
